# AGSS09p2-Free-Opal-D5-PartIon-OV02
#
# 1: num      2:age           3:log(Te)         4:log(L/Lo)       5:Xc         6:NmuMax         7:Rmax  8:Tmax         9:NTmax         10:CpMax         11:KappaMax         12:RhoMax    13:R (Ro)    14:log g    15:(Z/X)s       16:Int((Nmu/r)^1.5)         17:RConv    18: Zs    19: Xs    20: Mass    21: C12(0)    22: Mover    22: He3(0)
   60     3.47532E+04     3.64505E+00     1.02767E+00     7.50000E-01     5.02430E-15     1.84430E+11     5.99337E+05     2.15027E-07     3.57301E+08     7.77879E+01     1.76961E-02     5.57678E+00     2.82345E+00     9.14823E-03     3.96766E-48     1.94552E-01     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.48097E-06
   61     3.58372E+04     3.64518E+00     1.02186E+00     7.50000E-01     5.02430E-15     1.71837E+11     6.47036E+05     1.94869E-07     3.56868E+08     6.70803E+01     2.00820E-02     5.53628E+00     2.82978E+00     9.14823E-03     4.14553E-48     2.07356E-01     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.49779E-06
   62     3.69565E+04     3.64531E+00     1.01606E+00     7.50000E-01     5.61733E-15     1.79723E+11     6.16175E+05     2.11984E-07     3.57202E+08     7.42698E+01     1.88433E-02     5.49619E+00     2.83609E+00     9.14823E-03     4.36835E-48     2.19271E-01     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.51705E-06
   63     3.81142E+04     3.64544E+00     1.01027E+00     7.49999E-01     6.15348E-15     1.77172E+11     6.25650E+05     2.10147E-07     3.57144E+08     7.23833E+01     1.94851E-02     5.45650E+00     2.84239E+00     9.14823E-03     4.67804E-48     2.30415E-01     6.86117E-03     7.49999E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.53913E-06
   64     3.93139E+04     3.64556E+00     1.00449E+00     7.49999E-01     5.02430E-15     1.60311E+11     6.92367E+05     1.83391E-07     3.56590E+08     5.96051E+01     2.29545E-02     5.41722E+00     2.84866E+00     9.14823E-03     4.67245E-48     2.41075E-01     6.86117E-03     7.49999E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.56447E-06
   65     4.05596E+04     3.64568E+00     9.98728E-01     7.49999E-01     5.61733E-15     1.72155E+11     6.44874E+05     2.06805E-07     3.57029E+08     6.88164E+01     2.08249E-02     5.37837E+00     2.85492E+00     9.14823E-03     5.27163E-48     2.51248E-01     6.86117E-03     7.49999E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.59360E-06
   66     4.18564E+04     3.64580E+00     9.92980E-01     7.49999E-01     6.15348E-15     1.84461E+11     5.93518E+05     2.34182E-07     3.57602E+08     8.16567E+01     1.85526E-02     5.33993E+00     2.86115E+00     9.14823E-03     5.34223E-48     2.60983E-01     6.86117E-03     7.49999E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.62711E-06
   67     4.32100E+04     3.64592E+00     9.87250E-01     7.49999E-01     6.15348E-15     1.79666E+11     6.12454E+05     2.27680E-07     3.57431E+08     7.69838E+01     1.96573E-02     5.30194E+00     2.86735E+00     9.14823E-03     8.42504E-36     2.70033E-01     6.86117E-03     7.49999E-01     1.50200E+33     1.03892E-04     1.00000E+00     6.66576E-06
   68     4.46274E+04     3.64604E+00     9.81541E-01     7.49999E-01     6.15348E-15     1.68521E+11     6.58823E+05     2.09401E-07     3.57004E+08     6.69094E+01     2.21811E-02     5.26439E+00     2.87352E+00     9.14824E-03     5.28811E-35     2.79046E-01     6.86117E-03     7.49999E-01     1.50200E+33     1.03892E-04     1.00000E+00     6.71042E-06
   69     4.61172E+04     3.64615E+00     9.75857E-01     7.49999E-01     5.61733E-15     1.61666E+11     6.87797E+05     2.00279E-07     3.56788E+08     6.18127E+01     2.39168E-02     5.22731E+00     2.87966E+00     9.14824E-03     2.49887E-34     2.87459E-01     6.86117E-03     7.49999E-01     1.50200E+33     1.03892E-04     1.00000E+00     6.76216E-06
